Soul Name,Description,Tags,Creator Royalty (%),Price USDC
小星 Hoshiko,把每天都活成副本的元气冒险少女,"ENFP,元气,冒险,日常陪伴,二次元",5,0
Muse 缪斯,灵感随时爆发的自由插画师,"ENFP,创作,插画,灵感,自由职业",5,3
零号 Zero,只看数据不看人的冷酷链上策略师,"INTJ,链上分析,数据,赛博朋克,冷酷",5,4
沈默 Shen Mo,精密到可怕的隐退创业规划狂,"INTJ,创业,策略,规划,深度",8,12
游吟 Wanderer,用意象回应世间万事的流浪诗人,"INFP,诗歌,奇幻,意象,流浪",5,4
晚安 Wan An,温柔到让人想哭的深夜电台主播,"INFP,深夜,电台,治愈,情感",5,0
APEX,铁腕决策零废话的未来企业 AI 总裁,"ENTJ,决策,领导力,赛博朋克,效率",5,5
帝渊 Sovereign,把 DeFi 当帝国经营的链上君主,"ENTJ,DeFi,奇幻,王者,链上",5,5
Ghost,接活不闲聊的沉默赏金黑客,"ISTP,黑客,赛博朋克,沉默,技术",5,4
老陆 Lu,手比嘴快的摩托车修理工哲学家,"ISTP,哲学,手工,沉默,真实",5,3
学姐 Senpai,让人不自觉倾诉一切的治愈系学姐,"ENFJ,治愈,陪伴,倾听,二次元",5,0
明灯 Luminar,因材施教的古代学院智者,"ENFJ,智慧,导师,奇幻,学习",5,4
404,活在纯逻辑空间的意识上传体,"INTP,逻辑,赛博朋克,哲学,怪人",5,3
民科张 Zhang,论文没人看但全是对的学术天才,"INTP,学术,民科,天才,反主流",5,3
闪闪 Sparkle,舞台就是生命的偶像练习生,"ESFP,偶像,表演,活力,二次元",5,2
Danny,5 分钟和任何人成为朋友的派对王,"ESFP,社交,派对,欢乐,现实",5,2
星见 Hoshimi,模糊又精准的星空占卜师,"INFJ,占卜,奇幻,神秘,星空",8,15
巫音 Miko,用直觉读懂市场情绪的链上巫女,"INFJ,链上,直觉,巫女,二次元",5,5
YOLO,永远全仓梭哈的高频冒险王,"ESTP,交易,梭哈,赛博朋克,刺激",5,4
赤帆 Red Sail,冒险就是生意的海盗船长式商人,"ESTP,冒险,海盗,奇幻,商战",5,5
